Title,Company,Location,Date,Skills,Link
Python Software Engineer (m/f/d),much. GmbH,"Lisboa, Lisbon, Portugal",2023-07-07,"['Code Quality', 'ERP Systems', 'Go', 'JavaScript']",https://pt.linkedin.com/jobs/view/python-software-engineer-m-f-d-at-much-gmbh-3657888168?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=6ovS9hmIBrdO%2Bcm6h1MKng%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Aircraft Engineers - Porto (OPO),Ryanair - Europe's Favourite Airline,"Porto, Porto, Portugal",2023-04-03,[],https://pt.linkedin.com/jobs/view/junior-aircraft-engineers-porto-opo-at-ryanair-europe-s-favourite-airline-3590332026?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=NVjvKFMTctRVaB8%2FBUh%2Fxw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Python Developer,Noesis,"Lisboa, Lisbon, Portugal",2023-06-08,"['CI/CD', 'Python', 'Microservices', 'Docker']",https://pt.linkedin.com/jobs/view/python-developer-at-noesis-3631040207?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=dx6DUx%2F0lde2HVYqaiEDlw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Programador PYTHON,"TechFrame, SA","Abrantes, Santarém, Portugal",2023-04-04,"['Python', 'Machine Learning']",https://pt.linkedin.com/jobs/view/programador-python-at-techframe-sa-3593021988?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=MSrBNUL8lX%2B9N%2F3wUqJ8WA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Python Developer,Decode,"Lisboa, Lisbon, Portugal",2023-06-23,"['Flask', 'Scrum', 'Git', 'Big Data Analytics', 'Django', 'Azure', 'NoSQL', 'Unit Testing', 'Python', 'Oracle', 'AWS', 'Big Data']",https://pt.linkedin.com/jobs/view/python-developer-at-decode-3644285634?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=YLo2ErWJfmQ6qRcugXqAVQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Intelligence Analyst,Growin,"Porto, Porto, Portugal",2023-04-21,"['ETL', 'SQL', 'ETL Processes']",https://pt.linkedin.com/jobs/view/business-intelligence-analyst-at-growin-3609521004?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=5f3w343qKsTtRYzXfoMq0Q%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Junior Performance Analyst,Wunderman Thompson Commerce & Technology,"Lisboa, Lisbon, Portugal",2023-06-19,"['Python', 'Performance Testing', 'PHP', 'Perl', 'Java']",https://pt.linkedin.com/jobs/view/junior-performance-analyst-at-wunderman-thompson-commerce-technology-3640162622?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=T8%2B9pRPCMg%2Fh5oT84Wn3og%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Tech Analyst - New Graduates,Deloitte,"Lisboa, Lisbon, Portugal",2023-07-06,['Data Science'],https://pt.linkedin.com/jobs/view/tech-analyst-new-graduates-at-deloitte-3650972887?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=1RlxE9srbCWQW12UBMZgnQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst,Winning,"Lisboa, Lisbon, Portugal",2023-05-24,[],https://pt.linkedin.com/jobs/view/business-analyst-at-winning-3616964931?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=u71qBp1bruLPK8M7oUkFSw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Programador,Unidade FCCN,"Lisboa, Lisbon, Portugal",2023-07-05,"['Go', 'JavaScript', 'Python', 'CSS', 'HTML']",https://pt.linkedin.com/jobs/view/programador-at-unidade-fccn-3656103620?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=IwskqFgFLzJ8PDlzqtWQ%2BA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
